iter	Passed	Remaining
0	38	38362
1	73	36764
2	108	36009
3	143	35802
4	178	35525
5	213	35439
6	250	35480
7	285	35441
8	320	35326
9	355	35186
10	389	35055
11	425	35013
12	460	34931
13	494	34835
14	528	34725
15	563	34644
16	597	34556
17	635	34668
18	670	34614
19	705	34552
20	742	34628
21	777	34574
22	812	34509
23	847	34454
24	882	34436
25	917	34377
26	952	34315
27	986	34236
28	1022	34224
29	1057	34188
30	1091	34123
31	1125	34052
32	1160	34001
33	1194	33940
34	1228	33878
35	1266	33912
36	1303	33913
37	1337	33857
38	1372	33827
39	1407	33787
40	1442	33743
41	1476	33681
42	1511	33649
43	1546	33611
44	1582	33575
45	1617	33537
46	1651	33495
47	1687	33473
48	1722	33440
49	1763	33501
50	1804	33586
51	1845	33636
52	1882	33644
53	1919	33621
54	1956	33618
55	1990	33558
56	2024	33500
57	2059	33447
58	2094	33410
59	2132	33406
60	2169	33397
61	2203	33337
62	2242	33346
63	2277	33308
64	2317	33333
65	2359	33386
66	2397	33388
67	2433	33348
68	2474	33386
69	2515	33421
70	2555	33438
71	2594	33444
72	2633	33446
73	2673	33458
74	2714	33484
75	2755	33495
76	2794	33502
77	2834	33503
78	2874	33514
79	2914	33514
80	2952	33500
81	2991	33491
82	3030	33486
83	3068	33460
84	3101	33383
85	3135	33319
86	3169	33259
87	3203	33203
88	3237	33141
89	3272	33092
90	3308	33043
91	3342	32985
92	3379	32954
93	3413	32903
94	3448	32849
95	3482	32798
96	3517	32743
97	3556	32733
98	3595	32725
99	3636	32731
100	3675	32718
101	3716	32716
102	3756	32714
103	3798	32725
104	3834	32686
105	3869	32631
106	3903	32580
107	3939	32537
108	3976	32502
109	4010	32448
110	4045	32399
111	4081	32363
112	4116	32312
113	4150	32258
114	4186	32215
115	4221	32167
116	4256	32121
117	4291	32080
118	4326	32028
119	4360	31979
120	4396	31935
121	4430	31883
122	4465	31840
123	4500	31794
124	4536	31752
125	4573	31724
126	4609	31687
127	4644	31641
128	4679	31596
129	4713	31541
130	4748	31496
131	4782	31449
132	4817	31402
133	4849	31340
134	4884	31299
135	4926	31295
136	4964	31269
137	4999	31229
138	5043	31242
139	5082	31221
140	5120	31194
141	5155	31149
142	5192	31118
143	5227	31071
144	5261	31023
145	5295	30977
146	5330	30929
147	5364	30881
148	5400	30842
149	5434	30797
150	5470	30759
151	5505	30717
152	5539	30666
153	5573	30619
154	5609	30579
155	5644	30538
156	5678	30490
157	5712	30444
158	5748	30403
159	5783	30363
160	5818	30322
161	5853	30278
162	5888	30235
163	5921	30184
164	5955	30140
165	5991	30099
166	6025	30053
167	6060	30011
168	6094	29967
169	6128	29921
170	6163	29878
171	6197	29834
172	6232	29792
173	6266	29749
174	6303	29716
175	6337	29672
176	6375	29645
177	6410	29602
178	6444	29557
179	6478	29515
180	6512	29468
181	6546	29425
182	6581	29383
183	6618	29350
184	6654	29314
185	6688	29273
186	6723	29230
187	6758	29189
188	6792	29147
189	6826	29104
190	6862	29066
191	6897	29027
192	6932	28985
193	6966	28944
194	7001	28904
195	7037	28868
196	7071	28825
197	7105	28779
198	7140	28739
199	7176	28707
200	7211	28665
201	7245	28624
202	7280	28585
203	7315	28543
204	7349	28501
205	7383	28459
206	7420	28425
207	7455	28388
208	7491	28351
209	7526	28313
210	7562	28277
211	7596	28237
212	7631	28197
213	7667	28162
214	7702	28122
215	7736	28080
216	7770	28039
217	7806	28002
218	7842	27968
219	7877	27928
220	7911	27887
221	7946	27847
222	7980	27807
223	8015	27766
224	8050	27728
225	8084	27687
226	8118	27645
227	8152	27604
228	8187	27567
229	8222	27527
230	8257	27488
231	8291	27447
232	8325	27407
233	8360	27368
